PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Mandalay>>,<<BM08>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-MND>>,<<MMR-MND
Pegu>>,<<BM09>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-PEG>>,<<MMR-PEG
Rangoon>>,<<BM14>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-RNG>>,<<MMR-RNG
Mae Hong Son>>,<<TH01>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-MHS>>,<<THA-MHS
Wake I.>>,<<WQ>>,<<Wake I.>>,<<WQ>>,<<UMI>>,<<UMI-WKI>>,<<UMI-WKI
Andaman and Nicobar Islands>>,<<IN01>>,<<India>>,<<IN>>,<<IND>>,<<IND-AAN>>,<<IND-AAN
Chumphon>>,<<TH58>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CHM>>,<<THA-CHM
Nakhon Si Thammarat>>,<<TH64>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NST>>,<<THA-NST
Phuket>>,<<TH62>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHK>>,<<THA-PHK
Phangnga>>,<<TH61>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHN>>,<<THA-PHN
Ranong>>,<<TH59>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-RNN>>,<<THA-RNN
Surat Thani>>,<<TH60>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-STH>>,<<THA-STH
Aceh>>,<<ID01>>,<<Indonesia>>,<<ID>>,<<IDN>>,<<IDN-ACE>>,<<IDN-ACE
Sumatera Utara>>,<<ID26>>,<<Indonesia>>,<<ID>>,<<IDN>>,<<IDN-SUA>>,<<IDN-SUA
Mon State>>,<<BM13>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-MST>>,<<MMR-MST
Perak>>,<<MY07>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-PER>>,<<MYS-PER
Pulau Pinang>>,<<MY09>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-PPN>>,<<MYS-PPN
Kedah>>,<<MY02>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-KED>>,<<MYS-KED
Perlis>>,<<MY08>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-PRL>>,<<MYS-PRL
Krabi>>,<<TH63>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KRA>>,<<THA-KRA
Phatthalung>>,<<TH66>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHL>>,<<THA-PHL
Satun>>,<<TH67>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SAT>>,<<THA-SAT
Songkhla>>,<<TH68>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SNG>>,<<THA-SNG
Trang>>,<<TH65>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-TRN>>,<<THA-TRN
Yala>>,<<TH70>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-YAL>>,<<THA-YAL
Barisal>>,<<BG>>,<<Bangladesh>>,<<BG>>,<<BGD>>,<<BGD-BRS>>,<<BGD-BRS
Bokeo>>,<<LA>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-BOK>>,<<LAO-BOK
Louang Namtha>>,<<LA05>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-LNM>>,<<LAO-LNM
Arakan State>>,<<BM01>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-AST>>,<<MMR-AST
Chin State>>,<<BM02>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-CST>>,<<MMR-CST
Irrawaddy>>,<<BM03>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-IRR>>,<<MMR-IRR
Magwe>>,<<BM07>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-MAG>>,<<MMR-MAG
Shan State>>,<<BM11>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-SST>>,<<MMR-SST
Chiang Rai>>,<<TH03>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CRA>>,<<THA-CRA
Xaignabouri>>,<<LA13>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-XGN>>,<<LAO-XGN
Chiang Mai>>,<<TH02>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CMA>>,<<THA-CMA
Lampang>>,<<TH06>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-LMN>>,<<THA-LMN
Lamphun>>,<<TH05>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-LMP>>,<<THA-LMP
Nan>>,<<TH04>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NAN>>,<<THA-NAN
Phayao>>,<<TH41>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHA>>,<<THA-PHA
Phrae>>,<<TH07>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHR>>,<<THA-PHR
Phitsanulok>>,<<TH12>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHT>>,<<THA-PHT
Sukhothai>>,<<TH09>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SKH>>,<<THA-SKH
Uttaradit>>,<<TH10>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-UTT>>,<<THA-UTT
Kanchanaburi>>,<<TH50>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KNC>>,<<THA-KNC
Kamphaeng Phet>>,<<TH11>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KPH>>,<<THA-KPH
Phichit>>,<<TH13>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHC>>,<<THA-PHC
Phetchabun>>,<<TH14>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHH>>,<<THA-PHH
Suphan Buri>>,<<TH51>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SBR>>,<<THA-SBR
Tak>>,<<TH08>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-TAK>>,<<THA-TAK
Uthai Thani>>,<<TH15>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-UTH>>,<<THA-UTH
Ang Thong>>,<<TH35>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-ATH>>,<<THA-ATH
Chai Nat>>,<<TH32>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CNA>>,<<THA-CNA
Lop Buri>>,<<TH34>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-LBU>>,<<THA-LBU
Nakhon Nayok>>,<<TH43>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NNA>>,<<THA-NNA
Nakhon Sawan>>,<<TH16>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NSA>>,<<THA-NSA
Phra Nakhon Si Ayutthaya>>,<<TH36>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PNS>>,<<THA-PNS
Pathum Thani>>,<<TH39>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PTH>>,<<THA-PTH
Sing Buri>>,<<TH33>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SBU>>,<<THA-SBU
Saraburi>>,<<TH37>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SRB>>,<<THA-SRB
Tenasserim>>,<<BM12>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-TNS>>,<<MMR-TNS
Krung Thep>>,<<TH40>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KTH>>,<<THA-KTH
Nonthaburi>>,<<TH38>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NNT>>,<<THA-NNT
Nakhon Pathom>>,<<TH53>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NPT>>,<<THA-NPT
Phetchaburi>>,<<TH56>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PHB>>,<<THA-PHB
Prachuap Khiri Khan>>,<<TH57>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PKK>>,<<THA-PKK
Ratchaburi>>,<<TH52>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-RTC>>,<<THA-RTC
Samut Prakan>>,<<TH42>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SPR>>,<<THA-SPR
Samut Sakhon>>,<<TH55>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SSH>>,<<THA-SSH
Samut Songkhram>>,<<TH54>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SSN>>,<<THA-SSN
Hainan>>,<<CH>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-HAI>>,<<CHN-HAI
Champasak>>,<<LA02>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-CHM>>,<<LAO-CHM
Saravan>>,<<LA09>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-SRV>>,<<LAO-SRV
Savannakhet>>,<<LA10>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-SVN>>,<<LAO-SVN
Sisaket>>,<<TH30>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SSK>>,<<THA-SSK
Ubon Ratchathani>>,<<TH71>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-URT>>,<<THA-URT
Yasothon>>,<<TH72>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-YST>>,<<THA-YST
Quang Ninh>>,<<VM30>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-QNI>>,<<VNM-QNI
Batdambang>>,<<CB01>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-BTD>>,<<KHM-BTD
Kaoh Kong>>,<<CB08>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KKO>>,<<KHM-KKO
Pouthisat>>,<<CB12>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-PTH>>,<<KHM-PTH
Siemreab-Otdar Meanchey>>,<<CB16>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-SOM>>,<<KHM-SOM
Chon Buri>>,<<TH46>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CBU>>,<<THA-CBU
Chachoengsao>>,<<TH44>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CHC>>,<<THA-CHC
Chanthaburi>>,<<TH48>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CHN>>,<<THA-CHN
Prachin Buri>>,<<TH45>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PBU>>,<<THA-PBU
Rayong>>,<<TH47>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-RYN>>,<<THA-RYN
Trat>>,<<TH49>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-TRA>>,<<THA-TRA
Buriram>>,<<TH28>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-BRR>>,<<THA-BRR
Chaiyaphum>>,<<TH26>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-CHY>>,<<THA-CHY
Khon Kaen>>,<<TH22>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KKA>>,<<THA-KKA
Kalasin>>,<<TH23>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-KLS>>,<<THA-KLS
Maha Sarakham>>,<<TH24>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-MSR>>,<<THA-MSR
Nakhon Ratchasima>>,<<TH27>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NRT>>,<<THA-NRT
Roi Et>>,<<TH25>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-RET>>,<<THA-RET
Surin>>,<<TH29>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SUR>>,<<THA-SUR
Kampong Cham>>,<<CB02>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KCH>>,<<KHM-KCH
Kampong Chhnang>>,<<CB03>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KCN>>,<<KHM-KCN
Kandal>>,<<CB07>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KND>>,<<KHM-KND
Kampong Spoe>>,<<CB04>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KSP>>,<<KHM-KSP
Kampong Thum>>,<<CB05>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KTH>>,<<KHM-KTH
Phnum Penh>>,<<CB11>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-PPE>>,<<KHM-PPE
Prey Veng>>,<<CB14>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-PVE>>,<<KHM-PVE
Preah Vihear>>,<<CB13>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-PVI>>,<<KHM-PVI
Stoeng Treng>>,<<CB17>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-STR>>,<<KHM-STR
Kracheh>>,<<CB09>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KRC>>,<<KHM-KRC
Tay Ninh>>,<<VM33>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TNI>>,<<VNM-TNI
Viangchan>>,<<LA>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-VNG>>,<<LAO-VNG
Vientiane>>,<<LA11>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-VNT>>,<<LAO-VNT
Xiangkhoang>>,<<LA14>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-XNG>>,<<LAO-XNG
Loei>>,<<TH18>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-LOE>>,<<THA-LOE
Nong Khai>>,<<TH17>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NKH>>,<<THA-NKH
Sakon Nakhon>>,<<TH20>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-SNK>>,<<THA-SNK
Udon Thani>>,<<TH19>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-UTA>>,<<THA-UTA
Houaphan>>,<<LA03>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-HPH>>,<<LAO-HPH
Louangphrabang>>,<<LA06>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-LNG>>,<<LAO-LNG
Oudomxai>>,<<LA07>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-ODM>>,<<LAO-ODM
Phongsali>>,<<LA08>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-PHN>>,<<LAO-PHN
Lai Chau>>,<<VM22>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-LCH>>,<<VNM-LCH
Bac Thai>>,<<VM02>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-BTH>>,<<VNM-BTH
Lao Cai>>,<<VM64>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-LCA>>,<<VNM-LCA
Lang Son>>,<<VM39>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-LSO>>,<<VNM-LSO
Son La>>,<<VM32>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-SLA>>,<<VNM-SLA
Thanh Hoa>>,<<VM34>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-THO>>,<<VNM-THO
Tuyen Quang>>,<<VM76>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TQN>>,<<VNM-TQN
Yen Bai>>,<<VM78>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-YBA>>,<<VNM-YBA
Hoa Binh>>,<<VM61>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HBN>>,<<VNM-HBN
Hai Hung>>,<<VM12>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HHU>>,<<VNM-HHU
Ha Noi>>,<<VM51>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HNO>>,<<VNM-HNO
Ha Tay>>,<<VM59>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HTY>>,<<VNM-HTY
Ninh Binh>>,<<VM67>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-NBN>>,<<VNM-NBN
Nam Ha>>,<<VM65>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-NHA>>,<<VNM-NHA
Vinh Phu>>,<<VM50>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-VPH>>,<<VNM-VPH
Ha Bac>>,<<VM11>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HBA>>,<<VNM-HBA
Hai Phong>>,<<VM13>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HPH>>,<<VNM-HPH
Thai Binh>>,<<VM35>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TBI>>,<<VNM-TBI
Borikhamxai>>,<<LA>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-BRK>>,<<LAO-BRK
Khammouan>>,<<LA04>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-KHM>>,<<LAO-KHM
Nakhon Phanom>>,<<TH21>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NPH>>,<<THA-NPH
Ha Tinh>>,<<VM60>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HTN>>,<<VNM-HTN
Nghe An>>,<<VM66>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-NAN>>,<<VNM-NAN
Quang Binh>>,<<VM70>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-QBN>>,<<VNM-QBN
Mondol Kiri>>,<<CB10>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-MKI>>,<<KHM-MKI
Rotanokiri>>,<<CB15>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-RTN>>,<<KHM-RTN
Dac Lac>>,<<VM44>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-DLA>>,<<VNM-DLA
Gia Lai>>,<<VM57>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-GLA>>,<<VNM-GLA
Khanh Hoa>>,<<VM62>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-KHO>>,<<VNM-KHO
Lam Dong>>,<<VM23>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-LDO>>,<<VNM-LDO
Ninh Thuan>>,<<VM68>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-NTN>>,<<VNM-NTN
Phu Yen>>,<<VM69>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-PYN>>,<<VNM-PYN
Song Be>>,<<VM49>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-SBE>>,<<VNM-SBE
Attapeu>>,<<LA01>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-ATT>>,<<LAO-ATT
Xekong>>,<<LA>>,<<Laos>>,<<LA>>,<<LAO>>,<<LAO-XKN>>,<<LAO-XKN
Binh Dinh>>,<<VM54>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-BDN>>,<<VNM-BDN
Kon Tum>>,<<VM63>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-KTM>>,<<VNM-KTM
Quang Nam-Da Nang>>,<<VM29>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-QND>>,<<VNM-QND
Quang Ngai>>,<<VM71>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-QNG>>,<<VNM-QNG
Quang Tri>>,<<VM72>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-QTR>>,<<VNM-QTR
Thua Thien Hue>>,<<VM74>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TTH>>,<<VNM-TTH
Riau>>,<<ID19>>,<<Indonesia>>,<<ID>>,<<IDN>>,<<IDN-RIA>>,<<IDN-RIA
Narathiwat>>,<<TH31>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-NRH>>,<<THA-NRH
Pattani>>,<<TH69>>,<<Thailand>>,<<TH>>,<<THA>>,<<THA-PTT>>,<<THA-PTT
Ba Ria-Vung Tau>>,<<VM53>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-BRV>>,<<VNM-BRV
Binh Thuan>>,<<VM55>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-BTN>>,<<VNM-BTN
Dong Nai>>,<<VM45>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-DNA>>,<<VNM-DNA
Johor>>,<<MY01>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-JOH>>,<<MYS-JOH
Kuala Lumpur>>,<<MY>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-KLL>>,<<MYS-KLL
Kelantan>>,<<MY03>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-KLN>>,<<MYS-KLN
Melaka>>,<<MY04>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-MEL>>,<<MYS-MEL
Negeri Sembilan>>,<<MY05>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-NSM>>,<<MYS-NSM
Pahang>>,<<MY06>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-PHN>>,<<MYS-PHN
Selangor>>,<<MY12>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-SLN>>,<<MYS-SLN
Terengganu>>,<<MY13>>,<<Malaysia>>,<<MY>>,<<MYS>>,<<MYS-TRN>>,<<MYS-TRN
Singapore>>,<<SN>>,<<Singapore>>,<<SN>>,<<SGP>>,<<SGP>>,<<SGP
Kampot>>,<<CB06>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-KMP>>,<<KHM-KMP
Svay Rieng>>,<<CB18>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-SRI>>,<<KHM-SRI
Takev>>,<<CB19>>,<<Cambodia>>,<<CB>>,<<KHM>>,<<KHM-TAK>>,<<KHM-TAK
An Giang>>,<<VM43>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-AGI>>,<<VNM-AGI
Dong Thap>>,<<VM46>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-DTH>>,<<VNM-DTH
Ho Chi Minh>>,<<VM52>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-HCM>>,<<VNM-HCM
Kien Giang>>,<<VM47>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-KGI>>,<<VNM-KGI
Long An>>,<<VM24>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-LAN>>,<<VNM-LAN
Tien Giang>>,<<VM37>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TGI>>,<<VNM-TGI
Ben Tre>>,<<VM03>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-BTR>>,<<VNM-BTR
Can Tho>>,<<VM56>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-CTH>>,<<VNM-CTH
Minh Hai>>,<<VM48>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-MHA>>,<<VNM-MHA
Soc Trang>>,<<VM73>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-STR>>,<<VNM-STR
Tra Vinh>>,<<VM75>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-TVN>>,<<VNM-TVN
Vinh Long>>,<<VM77>>,<<Vietnam>>,<<VM>>,<<VNM>>,<<VNM-VLN>>,<<VNM-VLN
Gansu>>,<<CH15>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-GAN>>,<<CHN-GAN
Ningxia>>,<<CH21>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-NNG>>,<<CHN-NNG
Qinghai>>,<<CH06>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-QNG>>,<<CHN-QNG
Shaanxi>>,<<CH26>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-SHA>>,<<CHN-SHA
Shanxi>>,<<CH24>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-SHX>>,<<CHN-SHX
Kachin State>>,<<BM04>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-KST>>,<<MMR-KST
Dornogovi>>,<<MG07>>,<<Mongolia>>,<<MG>>,<<MNG>>,<<MNG-DRG>>,<<MNG-DRG
Omnogovi>>,<<MG14>>,<<Mongolia>>,<<MG>>,<<MNG>>,<<MNG-OMN>>,<<MNG-OMN
Chittagong>>,<<BG>>,<<Bangladesh>>,<<BG>>,<<BGD>>,<<BGD-CHT>>,<<BGD-CHT
Dhaka>>,<<BG32>>,<<Bangladesh>>,<<BG>>,<<BGD>>,<<BGD-DAK>>,<<BGD-DAK
Arunachal Pradesh>>,<<IN30>>,<<India>>,<<IN>>,<<IND>>,<<IND-APD>>,<<IND-APD
Assam>>,<<IN03>>,<<India>>,<<IN>>,<<IND>>,<<IND-ASS>>,<<IND-ASS
Manipur>>,<<IN17>>,<<India>>,<<IN>>,<<IND>>,<<IND-MNP>>,<<IND-MNP
Mizoram>>,<<IN31>>,<<India>>,<<IN>>,<<IND>>,<<IND-MZR>>,<<IND-MZR
Nagaland>>,<<IN20>>,<<India>>,<<IN>>,<<IND>>,<<IND-NGL>>,<<IND-NGL
Tripura>>,<<IN26>>,<<India>>,<<IN>>,<<IND>>,<<IND-TRP>>,<<IND-TRP
Sagaing>>,<<BM10>>,<<Myanmar>>,<<BM>>,<<MMR>>,<<MMR-SGN>>,<<MMR-SGN
Bumthang>>,<<BT05>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-BMT>>,<<BTN-BMT
Chirang>>,<<BT07>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-CHR>>,<<BTN-CHR
Geylegphug>>,<<BT09>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-GYL>>,<<BTN-GYL
Lhuntshi>>,<<BT11>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-LHN>>,<<BTN-LHN
Shemgang>>,<<BT18>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-SHM>>,<<BTN-SHM
Tongsa>>,<<BT21>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-TNG>>,<<BTN-TNG
Wangdi Phodrang>>,<<BT22>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-WNP>>,<<BTN-WNP
Meghalaya>>,<<IN18>>,<<India>>,<<IN>>,<<IND>>,<<IND-MGH>>,<<IND-MGH
Mongar>>,<<BT12>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-MNG>>,<<BTN-MNG
Pemagatsel>>,<<BT14>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-PMG>>,<<BTN-PMG
Samdrup Jongkhar>>,<<BT17>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-SDJ>>,<<BTN-SDJ
Tashigang>>,<<BT19>>,<<Bhutan>>,<<BT>>,<<BTN>>,<<BTN-TSH>>,<<BTN-TSH
Guangxi>>,<<CH16>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-GNG>>,<<CHN-GNG
Guizhou>>,<<CH18>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-GUI>>,<<CHN-GUI
Hubei>>,<<CH12>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-HUB>>,<<CHN-HUB
Hunan>>,<<CH11>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-HUN>>,<<CHN-HUN
Chongqing>>,<<CH34>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-CHQ>>,<<CHN-CHQ
Sichuan>>,<<CH27>>,<<China>>,<<CH>>,<<CHN>>,<<CHN-SCH>>,<<CHN-SCH
