PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Hawaii>>,<<US15>>,<<United States>>,<<US>>,<<USA>>,<<USA-HAW>>,<<USA-HAW
Alberta>>,<<CA01>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-ALB>>,<<CAN-ALB
British Columbia>>,<<CA02>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-BCL>>,<<CAN-BCL
Nunavut>>,<<CA14>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-NNV>>,<<CAN-NNV
Northwest Territories>>,<<CA13>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-NTR>>,<<CAN-NTR
Yukon Territory>>,<<CA12>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-YTR>>,<<CAN-YTR
Idaho>>,<<US16>>,<<United States>>,<<US>>,<<USA>>,<<USA-IDA>>,<<USA-IDA
Washington>>,<<US53>>,<<United States>>,<<US>>,<<USA>>,<<USA-WSH>>,<<USA-WSH
Baja California>>,<<MX02>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-BCN>>,<<MEX-BCN
Arizona>>,<<US04>>,<<United States>>,<<US>>,<<USA>>,<<USA-ARZ>>,<<USA-ARZ
California>>,<<US06>>,<<United States>>,<<US>>,<<USA>>,<<USA-CAL>>,<<USA-CAL
Colorado>>,<<US08>>,<<United States>>,<<US>>,<<USA>>,<<USA-COL>>,<<USA-COL
Nevada>>,<<US32>>,<<United States>>,<<US>>,<<USA>>,<<USA-NEV>>,<<USA-NEV
New Mexico>>,<<US35>>,<<United States>>,<<US>>,<<USA>>,<<USA-NME>>,<<USA-NME
Oregon>>,<<US41>>,<<United States>>,<<US>>,<<USA>>,<<USA-ORE>>,<<USA-ORE
Utah>>,<<US49>>,<<United States>>,<<US>>,<<USA>>,<<USA-UTA>>,<<USA-UTA
Wyoming>>,<<US56>>,<<United States>>,<<US>>,<<USA>>,<<USA-WYM>>,<<USA-WYM
Baja California Sur>>,<<MX03>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-BCS>>,<<MEX-BCS
Coahuila>>,<<MX07>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-CDZ>>,<<MEX-CDZ
Chihuahua>>,<<MX06>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-CHH>>,<<MEX-CHH
Durango>>,<<MX10>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-DRN>>,<<MEX-DRN
Sinaloa>>,<<MX25>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-SIN>>,<<MEX-SIN
Sonora>>,<<MX26>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-SON>>,<<MEX-SON
Zacatecas>>,<<MX32>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-ZCT>>,<<MEX-ZCT
Arkansas>>,<<US05>>,<<United States>>,<<US>>,<<USA>>,<<USA-ARK>>,<<USA-ARK
Iowa>>,<<US19>>,<<United States>>,<<US>>,<<USA>>,<<USA-IOW>>,<<USA-IOW
Kansas>>,<<US20>>,<<United States>>,<<US>>,<<USA>>,<<USA-KAN>>,<<USA-KAN
Missouri>>,<<US29>>,<<United States>>,<<US>>,<<USA>>,<<USA-MOS>>,<<USA-MOS
Nebraska>>,<<US31>>,<<United States>>,<<US>>,<<USA>>,<<USA-NEB>>,<<USA-NEB
Oklahoma>>,<<US40>>,<<United States>>,<<US>>,<<USA>>,<<USA-OKL>>,<<USA-OKL
South Dakota>>,<<US46>>,<<United States>>,<<US>>,<<USA>>,<<USA-SDA>>,<<USA-SDA
Nuevo Leon>>,<<MX19>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-NLE>>,<<MEX-NLE
San Luis Potosi>>,<<MX24>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-SLP>>,<<MEX-SLP
Tamaulipas>>,<<MX28>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-TML>>,<<MEX-TML
Louisiana>>,<<US22>>,<<United States>>,<<US>>,<<USA>>,<<USA-LOU>>,<<USA-LOU
Texas>>,<<US48>>,<<United States>>,<<US>>,<<USA>>,<<USA-TEX>>,<<USA-TEX
Aguascalientes>>,<<MX01>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-AGS>>,<<MEX-AGS
Colima>>,<<MX08>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX-COL>>,<<MEX-COL
